REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,MISSISSIPPI LIME CO - CALERA PLANT,1003479,8035 HIGHWAY 25 WEST,33.093663,-86.794982,CALERA,SHELBY COUNTY,AL,35040,HBM HOLDINGS CO (100%),435458,"C,S"
2022,MISSISSIPPI LIME CO - VERONA PLANT,1004517,525 HANCE RD,38.827901,-84.758804,VERONA,GALLATIN COUNTY,KY,41092,HBM HOLDINGS CO (100%),306866,"C,S"
2022,MISSISSIPPI LIME COMPANY,1004386,16147 US HWY 61,37.9742,-90.0678,STE. GENEVIEVE,STE. GENEVIEVE COUNTY,MO,63670,HBM HOLDINGS CO (100%),2584686,"C,S"
2022,MIT Central Utility Plant,1001289,59 VASSAR ST,42.3611,-71.0934,CAMBRIDGE,Middlesex,MA,2139,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (100%),168318,C
2022,"MITSUBISHI CHEMICAL AMERICA, INC. - POLYESTER FILM DIVISION",1004315,2001 HOOD ROAD,34.92566,-82.26203,GREER,GREENVILLE COUNTY,SC,29652,MITSUBISHI CHEMICAL AMERICA INC (100%),33396,C
2022,MITSUBISHI POLYCRYSTALLINE SILICON AMERICAN CORPORATION,1002393,7800 MITSUBISHI LANE,30.52339,-88.14111,THEODORE,MOBILE COUNTY,AL,36582,MITSUBISHI POLYCRYSTALLINE SILICON AMERICAN CORP (100%),35431,C
2022,MJMEUC GENERATING STATION 1,1001403,809 North Pine Street,39.2499,-91.6444,LADDONIA,AUDRAIN COUNTY,MO,63352,MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION (100%),61582,C
2022,"MMGK Arkoma, LLC - ARKOMA Basin",1008474,"13727 Noel Road, Suite 1200",35.38671,-94.42448,Dallas,,TX,75240,MERIT MANAGEMENT GROUP K LP (100%),45501,W
2022,MMSD-JONES ISLAND WASTEWATER TREATMENT PLANT,1003426,700 E JONES ST,43.01932,-87.8978,MILWAUKEE,MILWAUKEE COUNTY,WI,53207,MILWAUKEE METROPOLITAN SEWERAGE DISTRICT (100%),73416,C
2022,MOBILE BAY NGL RECOVERY PLANT,1002030,5300B HIGHWAY 188,30.38948,-88.17295,CODEN,MOBILE COUNTY,AL,36523,DCP MIDSTREAM LP (100%),39451,"C,W"
2022,MOCCASIN MIKE SANITARY LANDFILL,1001770,15 MOCCASIN MIKE ROAD,46.67142,-92.00087,SUPERIOR,DOUGLAS COUNTY,WI,54880,CITY OF SUPERIOR WISCONSIN (100%),39,"C,HH"
2022,MODERN LANDFILL,1003100,4400 MT PISGAH RD,39.960561,-76.5925,YORK,YORK COUNTY,PA,17406,REPUBLIC SERVICES INC (100%),19,"C,HH"
2022,"MODERN LANDFILL, INC",1003732,1445 PLETCHER ROAD,43.20882,-78.98108,MODEL CITY,NIAGARA COUNTY,NY,14107,MODERN LANDFILL INC (100%),109,"C,HH"
2022,MOLSON COORS BEVERAGE COMPANY USA LLC,1002057,405 CORDELE ROAD,31.5933,-84.08805,ALBANY,DOUGHERTY COUNTY,GA,31705,MOLSON COORS BEVERAGE CO (100%),31421,C
2022,MOLSON COORS USA LLC - TRENTON BREWERY,1002904,2525 WAYNE MADISON ROAD,39.45241,-84.4765,TRENTON,BUTLER COUNTY,OH,45067,MOLSON COORS BEVERAGE CO (100%),29026,C
2022,MOM BRANDS CO - PLANT 2 - NORTHFIELD,1006273,701 W 5TH ST,44.45508,-93.16991,NORTHFIELD,RICE COUNTY,MN,55057,POST HOLDINGS INC (100%),39007,C
2022,MONARCH CEMENT COMPANY (THE),1001701,449 1200th Street,37.797162,-95.431386,HUMBOLDT,ALLEN COUNTY,KS,66748,MONARCH CEMENT CO (100%),933014,"C,H"
2022,MONARCH CERAMIC TILE INC,1005389,834 RICKWOOD ROAD,34.826431,-87.670351,FLORENCE,LAUDERDALE COUNTY,AL,35630,MOHAWK INDUSTRIES INC (100%),18261,C
2022,MONMOUTH COUNTY RECLAMATION CENTER,1005054,6000 ASBURY AVE,40.25119,-74.10812,TINTON FALLS,MONMOUTH COUNTY,NJ,7753,COUNTY OF MONMOUTH NEW JERSEY (100%),193,"C,HH"
2022,MONROEVILLE LDFL,1007585,600 THOMAS STREET EXTENSION,40.4022,-79.79867,MONROEVILLE,ALLEGHENY COUNTY,PA,15146,WASTE MANAGEMENT INC (100%),61,"C,HH"
2022,MONTANA WASTE SYSTEMS - HIGHPLAINS SANITARY LANDFILL,1006766,142 POWERLINE ROAD,47.62676,-111.18909,FLOWEREE,CASCADE COUNTY,MT,59440,REPUBLIC SERVICES INC (100%),27,"C,HH"
2022,MONTGOMERY COUNTY RESOURCE RECOVERY FACILITY,1000623,21204 MARTINSBURG ROAD,39.200734,-77.456357,DICKERSON,MONTGOMERY COUNTY,MD,20842,NORTHEAST MARYLAND WASTE DISPOSAL AUTHORITY (100%),206642,C
2022,MONTMORENCY-OSCODA-ALPENA WASTE MANAGEME,1007590,6751 LANDFILL RD,45.015608,-84.15131,ATLANTA,MONTMORENCY COUNTY,MI,49709,MONTMORENCY-OSCODA-ALPENA WASTE MANAGEMENT AUTHORITY (100%),21,"C,HH"
2022,MONTROSE COUNTY LANDFILL,1007592,67999 LANDFILL RD.,38.5228,-107.82113,MONTROSE,MONTROSE COUNTY,CO,81401,WASTE MANAGEMENT INC (100%),94,"C,HH"
2022,"MONUMENT CHEMICAL HOUSTON, LLC",1004018,16717 JACINTOPORT BOULEVARD,29.75487,-95.10327,HOUSTON,HARRIS COUNTY,TX,77015,MONUMENT CHEMICAL LLC (100%),69341,C
2022,MORNING STAR PACKING CO (Williams),1000904,2211 OLD HWY 99,39.1264,-122.1251,WILLIAMS,COLUSA COUNTY,CA,95987,THE MORNING STAR CO (100%),114881,C
2022,MORRIS FARM LANDFILL,1002464,4 COUNTY ROAD 418,34.703571,-87.201836,HILLSBORO,LAWRENCE COUNTY,AL,35643,REPUBLIC SERVICES INC (100%),8,"C,HH"
2022,MORTON SALT,1001663,180 SIXTH STREET,44.24073,-86.31005,MANISTEE,MANISTEE COUNTY,MI,49660,STONE CANYON INDUSTRIES HOLDINGS LLC (100%),93891,C
2022,"MORTON SALT, INC.",1002333,45 RIBAUD AVENUE EAST,42.657389,-78.076111,SILVER SPRINGS,WYOMING COUNTY,NY,14550,STONE CANYON INDUSTRIES HOLDINGS LLC (100%),52098,C
2022,"MORTON SALT, INC.",1002203,151 SOUTH INDUSTRIAL STREET,40.976821,-81.775437,RITTMAN,WAYNE COUNTY,OH,44270,STONE CANYON INDUSTRIES HOLDINGS LLC (100%),78942,C
2022,MOST INC,1003453,50 CHERRY BLOSSOM WAY,38.962791,-90.971733,TROY,LINCOLN COUNTY,MO,63379,TOYOTA TSUSHO AMERICA INC (100%),28776,C
2022,"MOST, INC",1003510,355 James Lawrence Road,35.596221,-88.943062,Jackson,MADISON COUNTY,TN,38305,TOYOTA TSUSHO AMERICA INC (100%),23463,C
2022,MOTIVA ENTERPRISES LLC,1007458,2555 SAVANNAH AVE,29.883333,-93.958333,PORT ARTHUR,JEFFERSON COUNTY,TX,77640,ARAMCO SERVICES CO (100%),5161638,"C,MM,Y"
2022,MOUNT CARBERRY LANDFILL,1004084,OFF HUTCHINS ST,44.502699,-71.186431,BERLIN,COOS COUNTY,NH,3570,ANDROSCOGGIN VALLEY REGIONAL REFUSE (100%),19,"C,HH"
